Student_Code,Student_ID,Student_Name,Email,MSTE_AVE,HPGE_AVE,PSAD_AVE,GWA,COMPREHENSION_INDEX,Graduated_with_Latin,Age,Gender,Father_Monthly_Income,Father_Educational_Attainment,Mother_Monthly_Income,Mother_Educational_Attainment,Location,Exam_year,Months_prep,Year_Level
11-22-01,2014100409,"TORRES, ANA FERNANDEZ",ana_torres20@gmail.com,2.42,2.35,2.62,2.34,1.54,NO,23,F,5000-9999,College level,"PHP 15,000",College Graduate,Outside City,2022,6,4th Year
11-22-02,2017100106,"MAGNO, CHARLES LEMOSENIRO",charles.magno@outlook.com,1.85,1.77,2.45,1.9,1.95,NO,24,male,middle income,High School Graduate,MIDDLE INCOME,Master's Degree,Outside City,2022,6,4th Year
11-22-03,2018109459,"GINGONE, KENNETH HIPONA",kennethgingone@gmail.com,2.33,2.47,2.73,2.62,1.98,0,27,M,20000,High School Graduate,5000-9999,N/A,Outside City,2022,6,5th Year
11-22-04,2015108751,"DELA PEÑA, PAOLO VEDRA",paolo.delapea56@gmail.com,1.84,2.66,2.36,2.2,,NO,20,M,,Highschool Level,Low Income,,Within City,2022,6,4th Year
11-22-05,2020106482,"LOPEZ, RIKKA MELISSE FERNANDEZ",rikka.lopez12@gmail.com,1.81,2.2,1.83,1.97,2.0,NO,22,F,Low Income,N/A,Low Income,N/A,Within City,2022,6,4th Year
11-22-06,2019106252,"MENDOZA, VERA MORALES",veramendoza@hotmail.com,2.58,1.51,2.4,2.22,1.83,NO,30,F,Low Income,N/A,Low Income,N/A,Outside City,2022,6,4th Year
11-22-07,2014104889,"AGUILAR, MARK MAGNO",mark.aguilar74@gmail.com,1.7,2.69,2.65,2.47,2.11,false,21,1,High Income,College Graduate,Middle Income,Highschool Level,Within City,2022,6,4th Year
11-22-08,2014101403,"GUEVARA, ROSE DAISY JANE SUAREZ",rose.guevara@outlook.com,1.66,2.32,2.68,2.12,2.26,NO,23,Female,High Income,College Graduate,Middle Income,College Graduate,Out of City,2022,6,4th Year
11-22-09,2021107397,"TORRES, AARON JAGUALING",aaron_torres@hotmail.com,1.92,2.24,1.79,1.9,N/A,NO,23,M,Low Income,Highschool Level,Low Income,High School Graduate,Outside City,2022,6,5th Year
11-22-10,2015109355,"TRINIDAD, ANA JAVIER",ana_trinidad@gmail.com,2.01,1.62,2.32,1.94,,YES,30,F,High Income,High School Graduate,Low Income,Highschool Level,,2022,6,4th Year
11-22-11,2021107350,"AMARGA, CHRISTIAN OGUIMAS",christianamarga@outlook.com,2.08,2.59,1.59,2.18,1.62,NO,30,M,High Income,Master's Degree,Middle Income,College Graduate,Within City,2022,6,4th Year
11-22-12,2020103502,"AGCOPRA, MERIAN VEDRA",merian.agcopra@hotmail.com,1.5,1.99,2.66,2.14,2.37,0,31,F,high income,College Graduate,Mid-Income,N/A,Outside City,2022,6,4th Year
11-22-13,2021100998,"CASANE, MERIAN DIZON",merian.casane@icloud.com,2.1,2.65,2.16,2.17,2.56,NO,21,F,Middle Income,N/A,Middle Income,N/A,Within City,2022,6,4th Year
11-22-14,2019109562,"CRUZ, LIZA HERNANDEZ",lizacruz69@outlook.com,2.4,1.8,1.99,2.11,1.9,NO,32,F,High Income,College level,Low Income,College level,Within City,2022,6,4
11-22-15,2021104345,"GINGONE, OSCAR BERNARDO",oscar_gingone75@outlook.com,1.81,1.86,2.05,1.92,2.73,NO,28,M,Low Income,Elementary Graduate,Middle Income,College Graduate,Within City,2022,6,Fourth Year
11-22-16,2014109064,"AQUINO, EDWIN MANALO",edwin_aquino@yahoo.com,1.76,1.93,2.36,2.12,1.81,NO,20,M,<10000,Elementary Graduate,≤9999,N/A,Within City,2022,6,Year 4
11-22-17,2020109038,"ALBISO, CARLA NANOL",carla.albiso74@hotmail.com,1.59,2.6,2.63,2.29,2.23,NO,22,F,Low Income,High School Graduate,Low Income,College Graduate,Within City,2022,6,Yr. 5
11-22-18,2016101684,"LACSON, CARMEN BERNARDO",carmen_lacson44[at]outlook.com,2.59,2.72,2.44,2.71,1.7,NO,32,0,Middle Income,-,Middle Income,CG,Outside City,2022,6,4th Year
11-22-19,2016104371,"RAYPON, FERDINAND VEDRA",ferdinandraypon@hotmail.com,2.59,2.57,1.78,2.41,1.88,NO,32,M,Middle Income,College Graduate,Low Income,High School Graduate,Outside City,2022,6,5th Year
11-22-20,2017105753,"GUEVARA, JANINE LEMOSENIRO",janine_guevara22@yahoo.com,2.67,1.64,2.71,"2,24",1.83,NO,21,F,Middle Income,College Graduate,Low Income,High School Graduate,Within City,2022,6,5th Year
11-22-21,2016104173,"TOLENTINO, KENNETH ARIAS",kenneth_tolentino@gmail.com,2.15,2.51,2.36,2.47,1.75,NO,26,M,LOW INCOME,Highschool Level,mid income,Highschool Level,Within City,2022,6,4th Year
11-22-22,2019105344,"BAUTISTA, MARICEL MORALES",maricelbautista74@outlook.com,1.66,2.03,2.68,2.18,2.27,NO,24,F,Low Income,Highschool Level,Middle Income,N/A,Outside City,2022,6,Yr. 4
11-22-23,2016108375,"AGCOPRA, DOLORES HERNANDEZ",doloresagcopra45@hotmail.com,1.61,2.14,2.29,1.96,2.44,NO,23,F,Middle Income,N/A,Low Income,Master's Degree,Within City,2022,6,5th Year
11-22-24,2016106291,"RAMOS, DIANA TADEO",diana_ramos@outlook.com,2.32,1.51,2.44,2.17,2.03,NO,22,F,Middle Income,High School Graduate,Middle Income,College level,Within City,2022,6,5th Year
11-22-25,2020108702,"DELOS REYES, FELICIA SORIANO",felicia_delosreyes@gmail.com,2.52,2.62,2.03,2.51,1.7,NO,27,F,5000-9999,College Grad,10000-30000,Elementary Graduate,Outside City,2022,6,5th Year
11-22-26,2014104681,"LIM, EDWIN BEHAGAN",edwinlim90@hotmail.com,2.62,1.6,1.69,1.93,1.77,NO,25,M,Low Income,N/A,Low Income,High School Graduate,Within City,2022,6,4th Year
11-22-27,2018104892,"GUEVARA, FLORA ESTRADA",,2.42,2.5,2.62,2.51,2.11,NO,26,F,Low Income,High School Graduate,Middle Income,N/A,Outside City,2022,,4th Year
